ProviderName,PID,ProviderPracticeAddress1,ProviderPracticeAddress2,ProviderPracticeCity,ProviderPracticeStateCode,ProviderPracticeZipCode,County
Tulia Health and Rehabilitation Center,1653,714 S AUSTIN AVE,,TULIA,TX,79088,Swisher
Tuscany Village Skilled Nursing And Rehabilitation,1654,2750 MILLER RANCH RD,,PEARLAND,TX,77584,Brazoria
Twilight Nursing And Rehabilitation Center,1656,3001 W 4TH AVE,,CORSICANA,TX,75110,Navarro
Twin Lakes Rehabilitation and Care Center,1658,451 S EL CAMINO XING,,SAN AUGUSTINE,TX,75972,San Augustine
Twin Oaks Health and Rehabilitation,1659,1123 N BOLTON ST,,JACKSONVILLE,TX,75766,Cherokee
Twin Pines North Nursing And Rehabilitation Center,1661,1301 MALLETTE DR,,VICTORIA,TX,77904,Victoria
Twin Pines Nursing and Rehabilitation Center,1662,3301 E MOCKINGBIRD LN,,VICTORIA,TX,77904,Victoria
University Park Nursing and Rehabilitation,1663,4511 CORONADO AVE,,WICHITA FALLS,TX,76310,Wichita
University Place Retirement Community and Nursing Center,1664,7480 BEECHNUT ST,,HOUSTON,TX,77074,Harris
Ut Health Pittsburg,1668,2701 US HIGHWAY 271 N,,PITTSBURG,TX,75686,Camp
Ut Health Quitman,1669,117 N WINNSBORO ST,,QUITMAN,TX,75783,Wood
Uvalde Healthcare and Rehabilitation Center,1670,535 N PARK ST,,UVALDE,TX,78801,Uvalde
Uvalde Memorial Hospital,1671,1025 GARNER FIELD RD,,UVALDE,TX,78801,Uvalde
Val Verde Nursing and Rehabilitation Center,1673,100 HERRMANN DR,,DEL RIO,TX,78840,Val Verde
Valley Grande Manor,1677,1212 S BRIDGE AVE,,WESLACO,TX,78596,Hidalgo
Van Health Care Center,1680,169 S OAK ST,,VAN,TX,75790,Van Zandt
Veranda Rehabilitation and Healthcare,1682,4301 S EXPRESSWAY 83,,HARLINGEN,TX,78550,Cameron
Vernon Care Center,1683,4401 COLLEGE DR,,VERNON,TX,76384,Wilbarger
VIBRALIFE OF EL PASO,1684,3421 JOE BATTLE BLVD,,EL PASO,TX,79936,
"Vibralife Of Katy, Llc",1685,1222 PARK WEST GREEN DR,,KATY,TX,77493,Harris
Victoria Gardens of Allen,1686,310 S JUPITER RD,,ALLEN,TX,75002,Collin
Victoria Gardens of Frisco,1687,10700 ROLATER RD,,FRISCO,TX,75035,Collin
Vidor Health and Rehabilitation Center,1689,470 MOORE DR,,VIDOR,TX,77662,Orange
Villa Haven Health and Rehabilitation Center,1690,300 S JACKSON ST,,BRECKENRIDGE,TX,76424,Stephens
Villa Toscana at Cypress Woods,1691,15015 CYPRESS WOOD MEDICAL DR,,HOUSTON,TX,77014,Harris
Village Creek Nursing Center,1692,3825 VILLAGE CREEK RD,,FORT WORTH,TX,76119,Tarrant
Village Creek Rehabilitation and Nursing Center,1693,705 N MAIN ST,,LUMBERTON,TX,77657,Hardin
Village Healthcare and Rehabilitation,1694,615 N WARE RD,,MCALLEN,TX,78501,Hidalgo
Villages of Lake Highlands,1696,8615 LULLWATER DR,,DALLAS,TX,75238,Dallas
Villages On Macarthur,1697,3443 N MACARTHUR BLVD,,IRVING,TX,75062,Dallas
Vista Del Mar Health and Rehabilitation,1698,1314 3RD ST,,CORPUS CHRISTI,TX,78404,Nueces
Vista Hills Health Care Center,1699,1599 LOMALAND DR,,EL PASO,TX,79935,El Paso
Vista Living Of Vernon,1700,4301 HOSPITAL DR,,VERNON,TX,76384,Wilbarger
Vista Nursing And Rehabilitation Center,1701,4300 VISTA RD,,PASADENA,TX,77504,Harris
Vista Ridge Nursing and Rehabilitation Center,1702,700 E VISTA RIDGE MALL DR,,LEWISVILLE,TX,75067,Denton
Vosswood Nursing Center,1705,815 S VOSS RD,,HOUSTON,TX,77057,Harris
Walnut Place,1707,5515 GLEN LAKES DR,,DALLAS,TX,75231,Dallas
Ward Memorial Hospital,1708,406 S GARY AVE,,MONAHANS,TX,79756,Ward
Warm Springs Rehabilitation Hospital Of San Antonio,1713,5101 MEDICAL DR,,SAN ANTONIO,TX,78229,Bexar
Weatherford Healthcare Center,1718,521 W 7TH ST,,WEATHERFORD,TX,76086,Parker
Wedgewood Nursing Home,1720,6621 DAN DANCIGER RD,,FORT WORTH,TX,76133,Tarrant
"Wellington Care Center, Inc",1721,1506 CHILDRESS ST,,WELLINGTON,TX,79095,Collingsworth
Wellington Oaks Nursing and Rehabilitation,1722,701 SAINT LOUIS AVE,,FORT WORTH,TX,76104,Tarrant
Wellington Rehabilitation and Healthcare,1723,1802 S 31ST ST,,TEMPLE,TX,76504,Bell
Wells Ltc Nursing And Rehabilitation,1724,46 MAY ST,,WELLS,TX,75976,Cherokee
Weslaco Nursing and Rehabilitation Center,1725,422 E 18TH ST,,WESLACO,TX,78596,Hidalgo
Wesley Court Senior Living,1726,2617 ANTILLEY RD,,ABILENE,TX,79606,Taylor
Wesley Woods Health and Rehabilitation,1727,1700 WOODGATE DR,,WACO,TX,76712,McLennan
West Houston Rehabilitation and Healthcare Center,1729,13428 BISSONNET ST,,HOUSTON,TX,77083,Harris
West Janisch Health Care Center,1730,617 JANISCH RD,,HOUSTON,TX,77018,Harris
West Oaks Nursing and Rehab Center,1731,3625 GREEN CREST DR,,HOUSTON,TX,77082,Harris
West Oaks Nursing And Rehabilitation Center,1732,3200 W SLAUGHTER LN,,AUSTIN,TX,78748,Travis
"West Rest Haven, Inc",1735,503 MEADOW DR,,WEST,TX,76691,McLennan
"West Side Campus of Care, LP",1736,1950 S LAS VEGAS TRL,,FORT WORTH,TX,76108,Tarrant
Westchase Health and Rehabilitation Center,1737,8820 TOWN PARK DR,,HOUSTON,TX,77036,Harris
Western Hills Healthcare Residence,1738,400 OLD SIDNEY RD,,COMANCHE,TX,76442,Comanche
Westminster Manor Health Care Center,1740,4200 JACKSON AVE,,AUSTIN,TX,78731,Travis
Westover Hills Rehabilitation and Healthcare Center,1741,9922 STATE HIGHWAY 151,,SAN ANTONIO,TX,78251,Bexar
Westview Manor and Rehabilitation Center,1743,414 JOHNSON DR,,MC GREGOR,TX,76657,McLennan
Westward Trails Rehabilitation and Health Care Center,1744,3001 WESTWARD DR,,NACOGDOCHES,TX,75964,Nacogdoches
Wharton Nursing and Rehabilitation Center,1746,1220 SUNNY LN,,WHARTON,TX,77488,Wharton
"Wheeler Nursing and Rehabilitation, LP",1747,1000 S KIOWA ST,,WHEELER,TX,79096,Wheeler
Whispering Oaks Rehab and Nursing Center,1748,105 HOSPITAL DR,,CUERO,TX,77954,DeWitt
Whispering Pines Lodge,1749,2131 ALPINE RD,,LONGVIEW,TX,75601,Gregg
Whispering Pines Nursing And Rehabilitation,1750,910 S BEECH ST,,WINNSBORO,TX,75494,Wood
White Settlement Nursing Center,1753,7820 SKYLINE PARK DR,,WHITE SETTLEMENT,TX,76108,Tarrant
Whitehall Nursing Center,1754,1116 E LOOP 304,,CROCKETT,TX,75835,Houston
Whitesboro Nursing and Rehabilitation Center,1755,1204 SHERMAN DR,,WHITESBORO,TX,76273,Grayson
Will O Bell Nursing Home,1757,412 N DALTON ST,,BARTLETT,TX,76511,Bell
William R Courtney State Veterans Home,1758,1424 MARTIN LUTHER KING JR LN,,TEMPLE,TX,76504,Bell
Williamsburg Village Healthcare Campus,1759,940 YORK DR,,DESOTO,TX,75115,Dallas
"Willis Nursing And Rehabilitation, Lp",1760,3000 N DANVILLE ST,,WILLIS,TX,77378,Montgomery
Willow Bend Nursing and Rehabilitation Center,1761,2231 US HIGHWAY 80 E,,MESQUITE,TX,75150,Dallas
WILLOW PARK REHABILITATION AND CARE CENTER,1762,300 CROWNE POINT BLVD,,WILLOW PARK,TX,76087,
Willow Rehab And Nursing,1763,1901 WHIPPORWILL LN,,KILGORE,TX,75662,Gregg
Willow Springs Health and Rehabilitation Center,1764,4934 S 7TH ST,,ABILENE,TX,79605,Taylor
Willowbrook Nursing Center,1765,227 RUSSELL BLVD,,NACOGDOCHES,TX,75965,Nacogdoches
Willowbrook Residence and Rehabilitation Center,1766,13631 ARDFIELD DR,,HOUSTON,TX,77070,Harris
Winchester Lodge Health and Rehabilitation,1767,1112 SMITH DR,,ALVIN,TX,77511,Brazoria
Windcrest Health and Rehabilitation,1768,6050 HOSPITAL DR,,ABILENE,TX,79606,Taylor
Windcrest Nursing And Rehabilitation Center,1769,210 W WINDCREST ST,,FREDERICKSBURG,TX,78624,Gillespie
Windmill Nursing And Rehab Center,1772,507 MARTIN LUTHER KING BLVD,,LUBBOCK,TX,79403,Lubbock
Windsong Care Center,1774,3400 E WALNUT ST,,PEARLAND,TX,77581,Brazoria
Windsor Arbor View,1775,218 BALTIC AVE,,EDINBURG,TX,78539,Hidalgo
Windsor Atrium,1776,1814 ATRIUM PLACE DR,,HARLINGEN,TX,78550,Cameron
Windsor Calallen,1777,4162 WILDCAT DR,,CORPUS CHRISTI,TX,78410,Nueces
Windsor Gardens,1778,2535 W PLEASANT RUN RD,,LANCASTER,TX,75146,Dallas
"Windsor Healthcare Residence, Ltd",1779,1025 W YEAGUA ST,,GROESBECK,TX,76642,Limestone
Windsor Houston,1780,6920 W T C JESTER BLVD,,HOUSTON,TX,77091,Harris
Windsor Mission Oaks Nursing And Rehabilitation Center,1781,3030 ROOSEVELT AVE,,SAN ANTONIO,TX,78214,Bexar
Windsor Nursing and Rehabilitation Center of Duval,1783,5301 DUVAL RD,,AUSTIN,TX,78727,Travis
Windsor Nursing And Rehabilitation Center Of Seguin,1784,1219 EASTWOOD DR,,SEGUIN,TX,78155,Guadalupe
Windsor Place Nursing Center,1785,507 E W M WATSON BLVD,,DAINGERFIELD,TX,75638,Morris
Windsor Quail Valley Post Acute Healthcare Center,1786,3640 HAMPTON DR,,MISSOURI CITY,TX,77459,Fort Bend
Windsor Rehabilitation And Health Care Center,1787,250 W BRITISH FLYING SCHOOL BLVD,,TERRELL,TX,75160,Kaufman
Winfield Healthcare,1788,1108 E LOOP 304,,CROCKETT,TX,75835,Houston
Winkler County Memorial Hospital,1789,821 JEFFEE DR,,KERMIT,TX,79745,Winkler
Winnie L Nursing and Rehabilitation,1790,2104 N KARNES AVE,,CAMERON,TX,76520,Milam
Winterhaven Healthcare Residence,1791,6534 STUEBNER AIRLINE RD,,HOUSTON,TX,77091,Harris
Winters Healthcare Residence,1792,506 VAN NESS ST,,WINTERS,TX,79567,Runnels
Winters Park Nursing and Rehabilitation Center,1793,3737 N GARLAND AVE,,GARLAND,TX,75040,Dallas
Wisteria Place Nursing and Rehabilitation,1794,3202 S WILLIS ST,,ABILENE,TX,79605,Taylor
WJ Mangold Memorial Hospital,1795,320 N MAIN ST,,LOCKNEY,TX,79241,Floyd
Wood Memorial Nursing Center,1796,320 GREENVILLE AVE,,MINEOLA,TX,75773,Wood
Woodlake Nursing Home,1797,603 E PLANTATION DR,,CLUTE,TX,77531,Brazoria
"Woodland Manor Nursing and Rehabilitation, LP",1800,99 RIGBY OWEN RD,,CONROE,TX,77304,Montgomery
Woodland Park Nursing And Rehabilitation,1801,101 WOODLAND PARK DR,,SHEPHERD,TX,77371,San Jacinto
Woodland Springs Nursing Center,1802,1010 DALLAS ST,,WACO,TX,76704,McLennan
WOODLANDS PLACE REHABILITATION SUITES,1803,5600 WOODLANDS TRL,,DENISON,TX,75020,
Woodridge Health and Rehabilitation,1804,1500 AUTUMN DR,,GRAPEVINE,TX,76051,Tarrant
Woodridge Nursing and Rehabilitation Center,1805,8810 LONG POINT RD,,HOUSTON,TX,77055,Harris
Woodridge Nursing and Rehabilitation Center,1806,600 S HILLSIDE DR,,BEEVILLE,TX,78102,Bee
Woodville Health and Rehabilitation Center,1807,102 N BEECH ST,,WOODVILLE,TX,75979,Tyler
Wooldridge Place Nursing Center,1808,7352 WOOLDRIDGE RD,,CORPUS CHRISTI,TX,78414,Nueces
Yoakum Community Hospital Swing Bed,1810,1200 CARL RAMERT DR,,YOAKUM,TX,77995,Lavaca
Yoakum County Hospital,1811,412 MUSTANG DR,,DENVER CITY,TX,79323,Yoakum
Yoakum Nursing and Rehabilitation Center,1812,1300 CARL RAMERT DR,,YOAKUM,TX,77995,Lavaca
Yorktown Nursing and Rehabilitation Center,1813,670 W 4TH ST,,YORKTOWN,TX,78164,DeWitt
Goodall Witcher Nursing Facility Swing Bed,561,101 POSEY AVE,,CLIFTON,TX,76634,Bosque
Windemere at Westover Hills,1771,11106 CHRISTUS HLS,,SAN ANTONIO,TX,78251,Bexar
Treviso Transitional Care,1631,1154 E HAWKINS PKWY,,LONGVIEW,TX,75605,Gregg
Focused Care At Huntsville,485,1302 NOTTINGHAM ST,,HUNTSVILLE,TX,77340,Walker
"Bridgecrest Rehabiliation Suites, LLC",146,14100 KARISSA CT,,HOUSTON,TX,77049,Harris
Fall Creek Rehabilitation And Healthcare Center,464,14949 MESA DR,,HUMBLE,TX,77396,Harris
Landmark At Plano,802,1621 COIT RD,,PLANO,TX,75075,Collin
Focused Care At Baytown,478,2000 BEAUMONT RD,,BAYTOWN,TX,77520,Harris
Legend Oaks Healthcare and Rehabilitation Garland,836,2625 BELT LINE RD,,GARLAND,TX,75044,Dallas
Arbor Grace Of Kilgore,38,2700 S HENDERSON BLVD,,KILGORE,TX,75662,Gregg
Brentwood Place III,138,3505 S BUCKNER BLVD,,DALLAS,TX,75227,Dallas
Hansford Manor,613,707 ROLAND ST,,SPEARMAN,TX,79081,Hansford
Advanced Rehab and Healthcare,12,8221 PALISADES DR,,LIVE OAK,TX,78233,Bexar
